Configuration	F469_Disco
STM32CubeMX 	4.24.0
Date	01/26/2018
MCU	STM32F469NIHx



PERIPHERALS	MODES	FUNCTIONS	PINS
M5	PB2/BOOT1	GPIO_Output	OTG_FS1_PowerSwitchOn [STMPS2151STR_En]
M6	PF12	FMC_A6	A6
M7	PG1	FMC_A11	A11
M8	PF15	FMC_A9	A9
M11	PD13*	TIM4_CH2	MIC_CK [MP34DT01TR_CLK]
M13	PG2	GPIO_Input	uSD_Detect
M14	PJ5	GPIO_EXTI5	LCD_INT
M15	PH12	FMC_D20	D20
N3	PA0/WKUP	SYS_WKUP	WAKEUP [B2]
N6	PF13	FMC_A7	A7
N7	PG0	FMC_A10	A10
N9	PE8	FMC_D5	D5
N11	PG5	FMC_BA1	
N12	PG4	FMC_BA0	
N13	PH7	GPIO_Output	LCD_RESET
N14	PH9	FMC_D17	D17
N15	PH11	FMC_D19	D19
P6	PF14	FMC_A8	A8
P7	PJ2*	DSIHOST_TE	DSI_TE
P8	PF11	FMC_SDNRAS	SDNMT48LC4M32B2B5-6A_RAS]RAS [
P9	PE9	FMC_D6	D6
P10	PE11	FMC_D8	D8
P11	PE14	FMC_D11	D11
P12	PB10	USART3_TX	STLK_RX [STLINK V2-1_U2_RX]
P14	PH8	FMC_D16	D16
P15	PH10	FMC_D18	D18
R2	PA3	GPIO_Output	LCD_BL_CTRL [STLD40DPUR_EN]
R5	PB0	GPIO_Output	EXT_RESET
R8	PE7	FMC_D4	D4
R9	PE10	FMC_D7	D7
R10	PE12	FMC_D9	D9
R11	PE15	FMC_D12	D12
R12	PE13	FMC_D10	D10
R13	PB11	USART3_RX	STLK_TX [STLINK V2-1_U2_TX]



SOFTWARE PROJECT

Project Settings : 
Project Name : F469_Disco
Project Folder : C:\Users\jroch\git\F469_Disco
Toolchain / IDE : SW4STM32
Firmware Package Name and Version : STM32Cube FW_F4 V1.19.0


Code Generation Settings : 
STM32Cube Firmware Library Package : Copy only the necessary library files
Generate peripheral initialization as a pair of '.c/.h' files per peripheral : No
Backup previously generated files when re-generating : No
Delete previously generated files when not re-generated : Yes
Set all free pins as analog (to optimize the power consumption) : No


Toolchains Settings : 
Compiler Optimizations : Balanced Size/Speed






